institute_id,institute_label,country,region,parent_institution,parent_ror,resolved_ror_id,resolved_ror_name,ror_match_method,ror_match_confidence,ror_city,ror_country_name,ror_country_code,ror_lat,ror_lon
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis (University of Nottingham-linked analysis platform),United Kingdom,Europe,University of Nottingham-linked analysis platform,https://ror.org/01xg9fy93,https://ror.org/01ee9ar58,University of Nottingham,query_search,,Nottingham,United Kingdom,GB,52.9536,-1.15047
stanford_center_on_china_s_economy_and_institutions,Stanford Center on China's Economy and Institutions (Stanford University),United States,North America,Stanford University,https://ror.org/00f54p054,https://ror.org/00f54p054,Stanford University,query_search,,Stanford,United States,US,37.42411,-122.16608
center_for_chinese_studies,"Center for Chinese Studies (University of California, Berkeley)",United States,North America,"University of California, Berkeley",https://ror.org/01an7q238,https://ror.org/01an7q238,"University of California, Berkeley",query_search,,Berkeley,United States,US,37.87159,-122.27275
australia_china_relations_institute,Australia-China Relations Institute (University of Technology Sydney),Australia,Oceania,University of Technology Sydney,https://ror.org/03p9g0c36,https://ror.org/03f0f6041,University of Technology Sydney,query_search,,Sydney,Australia,AU,-33.86785,151.20732
penn_project_on_the_future_of_u_s_china_relations,Penn Project on the Future of U.S.-China Relations (University of Pennsylvania),United States,North America,University of Pennsylvania,,https://ror.org/00b30xv10,University of Pennsylvania,query_search,,Philadelphia,United States,US,39.95238,-75.16362
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC) (French Centre for Research on Contemporary China),France / Hong Kong,Europe / Asia,French Centre for Research on Contemporary China,,,,,,,,,,
university_of_oxford_china_centre,University of Oxford China Centre (University of Oxford),United Kingdom,Europe,University of Oxford,https://ror.org/00cwqze88,https://ror.org/052gg0110,University of Oxford,query_search,,Oxford,United Kingdom,GB,51.75222,-1.25596
durham_china_centre,Durham China Centre (Durham University),United Kingdom,Europe,Durham University,,https://ror.org/01v29qb04,Durham University,query_search,,Durham,United Kingdom,GB,54.77676,-1.57566
21st_century_china_center,21st Century China Center (University of California San Diego),United States,North America,University of California San Diego,https://ror.org/0168r3w48,https://ror.org/0168r3w48,University of California San Diego,query_search,,San Diego,United States,US,32.71571,-117.16472
nordic_institute_of_asian_studies,Nordic Institute of Asian Studies (University of Copenhagen),Denmark,Europe,University of Copenhagen,,https://ror.org/035b05819,University of Copenhagen,query_search,,Copenhagen,Denmark,DK,55.67594,12.56553
china_studies_centre,China Studies Centre (University of Sydney),Australia,Oceania,University of Sydney,https://ror.org/03f0f6041,https://ror.org/0384j8v12,The University of Sydney,query_search,,Sydney,Australia,AU,-33.86785,151.20732
center_on_u_s_china_relations,Center on U.S.-China Relations (Asia Society),United States,North America,Asia Society,,https://ror.org/010tt0206,Asia Society,query_search,,New York,United States,US,40.71427,-74.00597
soas_china_institute,SOAS China Institute (SOAS University of London),United Kingdom,Europe,SOAS University of London,https://ror.org/03gq8hx27,https://ror.org/04vrxay34,SOAS University of London,query_search,,London,United Kingdom,GB,51.50853,-0.12574
china_institute,China Institute (University of Birmingham),United Kingdom,Europe,University of Birmingham,https://ror.org/01ej9dk98,https://ror.org/03angcq70,University of Birmingham,query_search,,Birmingham,United Kingdom,GB,52.48142,-1.89983
sigur_center_for_asian_studies,Sigur Center for Asian Studies (George Washington University),United States,North America,George Washington University,https://ror.org/00hw57361,https://ror.org/00y4zzh67,George Washington University,query_search,,Washington,United States,US,38.89511,-77.03637
weatherhead_east_asian_institute,Weatherhead East Asian Institute (Columbia University),United States,North America,Columbia University,,https://ror.org/00hj8s172,Columbia University,query_search,,New York,United States,US,40.71427,-74.00597
east_asian_institute,East Asian Institute (National University of Singapore),Singapore,Asia,National University of Singapore,https://ror.org/03qf0hz13,https://ror.org/01tgyzw49,National University of Singapore,query_search,,Singapore,Singapore,SG,1.28967,103.85007
east_asian_studies_center,East Asian Studies Center (Indiana University Bloomington),United States,North America,Indiana University Bloomington,https://ror.org/01hcx6992,https://ror.org/02k40bc56,Indiana University Bloomington,query_search,,Bloomington,United States,US,39.16533,-86.52639
paul_tsai_china_center,Paul Tsai China Center (Yale University),United States,North America,Yale University,https://ror.org/03v76x132,https://ror.org/03v76x132,Yale University,query_search,,New Haven,United States,US,41.30815,-72.92816
john_l_thornton_china_center,John L. Thornton China Center (Brookings Institution),United States,North America,Brookings Institution,,https://ror.org/04aj4sh46,Brookings Institution,query_search,,Washington,United States,US,38.89511,-77.03637
china_studies_program,China Studies Program (University of Washington),United States,North America,University of Washington,https://ror.org/00cvxb145,https://ror.org/00cvxb145,University of Washington,query_search,,Seattle,United States,US,47.60621,-122.33207
institute_of_asian_research_china_programs,Institute of Asian Research (China programs) (University of British Columbia),Canada,North America,University of British Columbia,,https://ror.org/03rmrcq20,University of British Columbia,query_search,,Vancouver,Canada,CA,49.24966,-123.11934
asia_institute_china_related_programs,Asia Institute (China-related programs) (University of Melbourne),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,https://ror.org/01ej9dk98,The University of Melbourne,query_search,,Melbourne,Australia,AU,-37.814,144.96332
new_zealand_contemporary_china_research_centre,New Zealand Contemporary China Research Centre (Victoria University of Wellington),New Zealand,Oceania,Victoria University of Wellington,https://ror.org/01v2v5q64,https://ror.org/0040r6f76,Victoria University of Wellington,query_search,,Wellington,New Zealand,NZ,-41.28664,174.77557
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies (Harvard University),United States,North America,Harvard University,https://ror.org/03vek6s52,https://ror.org/03vek6s52,Harvard University,query_search,,Cambridge,United States,US,42.3751,-71.10561
lau_china_institute,Lau China Institute (King's College London),United Kingdom,Europe,King's College London,https://ror.org/02v7q7m21,https://ror.org/0220mzb33,King's College London,query_search,,London,United Kingdom,GB,51.50853,-0.12574
freeman_chair_in_china_studies,Freeman Chair in China Studies (Center for Strategic and International Studies),United States,North America,Center for Strategic and International Studies,,https://ror.org/04my2jj52,Center for Strategic and International Studies,query_search,,Washington,United States,US,38.89511,-77.03637
mercator_institute_for_china_studies_merics,Mercator Institute for China Studies (MERICS) (Independent think tank),Germany,Europe,Independent think tank,,,,,,,,,,
needham_research_institute,Needham Research Institute (Independent / Cambridge-affiliated charity),United Kingdom,Europe,Independent,,https://ror.org/00w7etd19,Independent Dance,query_search,,London,United Kingdom,GB,51.50853,-0.12574
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work) (Duke University),United States,North America,Duke University,,https://ror.org/00py81415,Duke University,query_search,,Durham,United States,US,35.99403,-78.89862
contemporary_china_studies_programme_ccsp,Contemporary China Studies Programme (CCSP) (University of Oxford),United Kingdom,Europe,University of Oxford,https://ror.org/00cwqze88,https://ror.org/052gg0110,University of Oxford,query_search,,Oxford,United Kingdom,GB,51.75222,-1.25596
leiden_asia_centre,Leiden Asia Centre (Leiden University-affiliated independent not-for-profit),Netherlands,Europe,Leiden University-affiliated independent not-for-profit,,https://ror.org/027bh9e22,Leiden University,query_search,,Leiden,The Netherlands,NL,52.15833,4.49306
usc_u_s_china_institute,USC U.S.-China Institute (University of Southern California),United States,North America,University of Southern California,https://ror.org/03taz7m60,https://ror.org/03taz7m60,University of Southern California,query_search,,Los Angeles,United States,US,34.05223,-118.24368
hopkins_nanjing_center,Hopkins-Nanjing Center (Johns Hopkins SAIS & Nanjing University),China / United States,Asia / North America,Johns Hopkins SAIS,,https://ror.org/02wt5sv47,Johns Hopkins University School of Advanced International Studies,query_search,,Washington,United States,US,38.89511,-77.03637
asia_pacific_center_china_related_programs,"Asia Pacific Center (China-related programs) (University of California, Los Angeles)",United States,North America,"University of California, Los Angeles",,https://ror.org/046rm7j60,"University of California, Los Angeles",query_search,,Los Angeles,United States,US,34.05223,-118.24368
manchester_china_institute,Manchester China Institute (University of Manchester),United Kingdom,Europe,University of Manchester,https://ror.org/027m9bs27,https://ror.org/027m9bs27,University of Manchester,query_search,,Manchester,United Kingdom,GB,53.48095,-2.23743
carnegie_china,Carnegie China (Carnegie Endowment for International Peace),China / Global,Asia / Global,Carnegie Endowment for International Peace,,https://ror.org/022hhet17,Carnegie Endowment for International Peace,query_search,,Washington,United States,US,38.89511,-77.03637
chinese_studies_program,Chinese Studies Program (University of Toronto),Canada,North America,University of Toronto,,https://ror.org/03dbr7087,University of Toronto,query_search,,Toronto,Canada,CA,43.70643,-79.39864
centre_for_china_studies,Centre for China Studies (The Chinese University of Hong Kong),Hong Kong,Asia,The Chinese University of Hong Kong,https://ror.org/03k29bg26,https://ror.org/00t33hh48,Chinese University of Hong Kong,query_search,,Hong Kong,Hong Kong,HK,22.27832,114.17469
china_africa_research_initiative,China Africa Research Initiative (Johns Hopkins SAIS),United States / Africa-focused,Africa / North America,Johns Hopkins SAIS,,https://ror.org/02wt5sv47,Johns Hopkins University School of Advanced International Studies,query_search,,Washington,United States,US,38.89511,-77.03637
center_for_east_asian_studies,Center for East Asian Studies (University of Chicago),United States,North America,University of Chicago,https://ror.org/024mw5h28,https://ror.org/024mw5h28,University of Chicago,query_search,,Chicago,United States,US,41.85003,-87.65005
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work) (The University of Texas at Austin),United States,North America,The University of Texas at Austin,,https://ror.org/00hj54h04,The University of Texas at Austin,query_search,,Austin,United States,US,30.26715,-97.74306
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management (University of Cambridge / Cambridge Judge Business School),United Kingdom,Europe,University of Cambridge,https://ror.org/013meh722,https://ror.org/013meh722,University of Cambridge,query_search,,Cambridge,United Kingdom,GB,52.2,0.11667
australian_centre_on_china_in_the_world,Australian Centre on China in the World (Australian National University),Australia,Oceania,Australian National University,https://ror.org/01bj3aw27,https://ror.org/019wvm592,Australian National University,query_search,,Canberra,Australia,AU,-35.28346,149.12807
georgetown_initiative_for_u_s_china_dialogue_on_global_issues,Georgetown Initiative for U.S.-China Dialogue on Global Issues (Georgetown University),United States,North America,Georgetown University,https://ror.org/00m9f7v12,https://ror.org/05vzafd60,Georgetown University,query_search,,Washington,United States,US,38.89511,-77.03637
hoover_china_s_global_sharp_power_project,"Hoover China's Global Sharp Power Project (Hoover Institution, Stanford University)",United States,North America,"Hoover Institution, Stanford University",,https://ror.org/04ce9mt19,Hoover Institution,query_search,,Stanford,United States,US,37.42411,-122.16608
china_matters,China Matters (Independent policy organization),Australia,Oceania,Independent policy organization,,,,,,,,,,
princeton_china_center,Princeton China Center (Princeton University),United States / China,North America / Asia,Princeton University,https://ror.org/00hx57361,https://ror.org/00hx57361,Princeton University,query_search,,Princeton,United States,US,40.34872,-74.65905
kissinger_institute_on_china_and_the_united_states,Kissinger Institute on China and the United States (Wilson Center),United States,North America,Wilson Center,,https://ror.org/00whzh260,Woodrow Wilson International Center for Scholars,query_search,,Washington,United States,US,38.89511,-77.03637
penn_wharton_china_center,Penn Wharton China Center (University of Pennsylvania / Wharton),China / United States,Asia / North America,University of Pennsylvania,https://ror.org/00b30xv10,https://ror.org/00b30xv10,University of Pennsylvania,query_search,,Philadelphia,United States,US,39.95238,-75.16362
institute_of_chinese_studies,Institute of Chinese Studies (Independent / Delhi-based research institute),India,Asia,Independent,,https://ror.org/00w7etd19,Independent Dance,query_search,,London,United Kingdom,GB,51.50853,-0.12574
european_think_tank_network_on_china_etnc,European Think-tank Network on China (ETNC) (Network coordinated by member think tanks),Europe,Europe,Network coordinated by member think tanks,,,,,,,,,,
china_programme,China programme (French Institute of International Relations (Ifri)),France,Europe,French Institute of International Relations (Ifri),,https://ror.org/00ny8df12,Institut Français des Relations Internationales,query_search,,Paris,France,FR,48.85341,2.3488
institute_for_china_america_studies,Institute for China-America Studies (Independent think tank),Hong Kong / United States,Asia / North America,Independent think tank,,,,,,,,,,
china_programs,China programs (Sciences Po),France,Europe,Sciences Po,,https://ror.org/05fe7ax82,Institut d'Etudes Politiques de Paris,query_search,,Paris,France,FR,48.85341,2.3488
tsinghua_university_latin_america_center,Tsinghua University Latin America Center (Tsinghua University),Chile / China,Latin America / Asia,Tsinghua University,,https://ror.org/03cve4549,Tsinghua University,query_search,,Beijing,China,CN,39.9075,116.39723
cornell_china_center,Cornell China Center (Cornell University),United States / China,North America / Asia,Cornell University,https://ror.org/05bnh8v26,https://ror.org/05bnh6r87,Cornell University,query_search,,Ithaca,United States,US,42.44063,-76.49661
china_studies_institute,China Studies Institute (Yonsei University),South Korea,Asia,Yonsei University,,https://ror.org/01wjejq96,Yonsei University,query_search,,Seoul,South Korea,KR,37.566,126.9784
institute_of_international_relations_china_studies_stream,Institute of International Relations - China studies stream (National Chengchi University),Taiwan,Asia,National Chengchi University,,https://ror.org/03rqk8h36,National Chengchi University,query_search,,Taipei,Taiwan,TW,25.05306,121.52639
