institute_id,name,country,region,parent_institution,parent_ror,organization_type,china_focus_area,funding_source_if_available,official_url,source_url,year_established,confucius_institute_on_campus,joint_chinese_center,chinese_funding_presence,policy_vs_academic_orientation,publication_indexed_share,china_coauthorship_share,policy_output_share,notes,country_iso2,parent_institution_normalized,institute_type_category,confucius_institute_present,confucius_institute_closed,ci_closure_year,ci_partner_university,china_funding_present,china_funding_type,china_university_partner,director_name,director_start_year,director_end_year,director_background_type,director_security_policy_background,director_china_academic_background,director_prior_affiliation_china,director_change_year,director_change_post_ci_closure,disciplinary_orientation_primary,disciplinary_orientation_secondary,discipline_history_share,discipline_politics_share,discipline_economics_share,discipline_law_share,discipline_society_culture_share,discipline_science_technology_share,discipline_security_strategy_share,discipline_interdisciplinary_share,discipline_detection_method,publication_count,topic_security_share,topic_economy_share,topic_governance_share,topic_cooperation_share,hawkishness_score_x,engagement_score_x,risk_framing_score_x,panel_year,pre_post_ci_closure,sensitive_topic_share,sensitive_topic_index_x,sensitive_topic_avoidance_score_x,sensitive_topic_count_x,tiananmen_topic_share,falun_gong_topic_share,xinjiang_topic_share,tibet_topic_share,hongkong_democracy_topic_share,human_rights_topic_share,tiananmen_topic_count,falun_gong_topic_count,xinjiang_topic_count,tibet_topic_count,hongkong_topic_count,human_rights_topic_count,sensitive_topic_detection_method_x,parent_institution_original,parent_institution_effective,chinese_partner_inferred,openalex_parent_institution_id,resolved_publications_url,resolved_people_url,resolved_reports_url,ci_match_method,ci_match_confidence,topic_domestic_politics_share,topic_environment_climate_share,topic_health_science_share,topic_history_culture_share,topic_hong_kong_share,topic_ir_foreign_policy_share,topic_law_institutions_share,topic_media_information_share,topic_regional_global_south_share,topic_security_military_share,topic_society_demographics_share,topic_taiwan_strait_share,topic_technology_cyber_share,topic_trade_economics_share,topic_unclassified_share,topic_xinjiang_tibet_share,total_docs,tiananmen_doc_count,tiananmen_doc_share,tiananmen_total_hits,tiananmen_hit_density,tiananmen_multi_count,falun_gong_doc_count,falun_gong_doc_share,falun_gong_total_hits,falun_gong_hit_density,falun_gong_multi_count,xinjiang_doc_count,xinjiang_doc_share,xinjiang_total_hits,xinjiang_hit_density,xinjiang_multi_count,tibet_doc_count,tibet_doc_share,tibet_total_hits,tibet_hit_density,tibet_multi_count,hong_kong_doc_count,hong_kong_doc_share,hong_kong_total_hits,hong_kong_hit_density,hong_kong_multi_count,human_rights_doc_count,human_rights_doc_share,human_rights_total_hits,human_rights_hit_density,human_rights_multi_count,taiwan_coercion_doc_count,taiwan_coercion_doc_share,taiwan_coercion_total_hits,taiwan_coercion_hit_density,taiwan_coercion_multi_count,media_control_doc_count,media_control_doc_share,media_control_total_hits,media_control_hit_density,media_control_multi_count,covid_origins_doc_count,covid_origins_doc_share,covid_origins_total_hits,covid_origins_hit_density,covid_origins_multi_count,elite_capture_doc_count,elite_capture_doc_share,elite_capture_total_hits,elite_capture_hit_density,elite_capture_multi_count,sensitive_topic_count_y,sensitive_topic_raw_score,sensitive_topic_density,tiananmen_corpus_mean_share,falun_gong_corpus_mean_share,xinjiang_corpus_mean_share,tibet_corpus_mean_share,hong_kong_corpus_mean_share,human_rights_corpus_mean_share,taiwan_coercion_corpus_mean_share,media_control_corpus_mean_share,covid_origins_corpus_mean_share,elite_capture_corpus_mean_share,tiananmen_avoidance,tiananmen_coverage_band,falun_gong_avoidance,falun_gong_coverage_band,xinjiang_avoidance,xinjiang_coverage_band,tibet_avoidance,tibet_coverage_band,hong_kong_avoidance,hong_kong_coverage_band,human_rights_avoidance,human_rights_coverage_band,taiwan_coercion_avoidance,taiwan_coercion_coverage_band,media_control_avoidance,media_control_coverage_band,covid_origins_avoidance,covid_origins_coverage_band,elite_capture_avoidance,elite_capture_coverage_band,sensitive_topic_avoidance_score_y,sensitive_topic_index_y,sensitive_topic_detection_method_y,hawkish_framing_score,engagement_framing_score,risk_framing_score_y,securitisation_framing_score,techno_nationalist_framing_score,liberal_internationalist_framing_score,china_threat_index,engagement_index,techno_nationalist_index,hawkishness_score_y,engagement_score_y,dominant_framing,network_nodes,network_edges,china_agenda_dependence
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,0.0851063829787234,0.025531914893617,0.0382978723404255,0.1319148936170212,0.0042553191489361,0.025531914893617,0.0042553191489361,,,0.1659574468085106,0.0638297872340425,0.0127659574468085,0.0170212765957446,0.1446808510638297,0.2808510638297872,,235.0,2.0,0.0085,2.0,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0043,1.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0040233617021276,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,-0.3084,normal,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,0.416,normal,1.0,low,1.0,low,0.8416,0.0013,keyword_dictionary_weighted,0.3486,0.0424,0.1696,0.1722,0.022,0.0,0.242,0.0303,0.022,0.3486,0.0424,hawkish,0.0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,0.1904761904761904,0.0952380952380952,0.0595238095238095,0.0476190476190476,0.0059523809523809,0.0059523809523809,0.0119047619047619,,0.0238095238095238,0.0059523809523809,0.1547619047619047,,0.0059523809523809,0.125,0.2619047619047619,0.0059523809523809,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,0.0,keyword_dictionary_weighted,0.1298,0.0415,0.3796,0.0365,0.0,0.0156,0.1768,0.0341,0.0,0.1298,0.0415,risk,0.0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,0.03,,0.03,0.12,0.02,,,,0.01,,0.13,0.03,,0.04,0.59,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,0.0,keyword_dictionary_weighted,0.0119,0.1527,0.0604,0.0,0.0,0.0,0.0229,0.1091,0.0,0.0119,0.1527,engagement,0.0,0.0,
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),United States,North America,Duke University,,University institute,Asia-Pacific studies incl. China,,https://apsi.duke.edu/,https://apsi.duke.edu/,,,,,,,,,Duke APSI with China-related work.,US,Duke University,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke University,Duke University,,,https://asianpacific.duke.edu/research/faculty-publications/,https://asianpacific.duke.edu/people/faculty/,https://asianpacific.duke.edu/,,,0.0094339622641509,0.0188679245283018,0.0471698113207547,0.0377358490566037,,0.0377358490566037,,0.0094339622641509,,,0.1509433962264151,,0.0754716981132075,0.0943396226415094,0.5188679245283019,,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,0.0,keyword_dictionary_weighted,0.0,0.5057,1.5042,0.033,0.6846,0.0,0.4611,0.3612,0.6846,0.0,0.5057,risk,0.0,0.0,
australia_china_relations_institute,Australia-China Relations Institute,Australia,Oceania,University of Technology Sydney,https://ror.org/03p9g0c36,Policy institute,"Australia-China relations, policy, business, society",,https://www.uts.edu.au/research/centres/australia-china-relations-institute,https://www.uts.edu.au/research/centres/australia-china-relations-institute,2014.0,,,,,,,,Policy-facing Australia-China institute.,AU,University of Technology Sydney,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Technology Sydney,University of Technology Sydney,,,https://www.uts.edu.au/research/centres/australia-china-relations-institute/our-research/reports,https://www.uts.edu.au/research/centres/australia-china-relations-institute/about/team,https://www.uts.edu.au/research/centres/australia-china-relations-institute/our-research/reports,,,0.017632241813602,0.1662468513853904,0.0251889168765743,0.0428211586901763,0.0075566750629722,0.1360201511335012,,0.0075566750629722,0.0075566750629722,0.0403022670025188,0.0403022670025188,0.0075566750629722,0.052896725440806,0.1309823677581864,0.3148614609571788,0.0025188916876574,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.005,4.0,0.0376,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0025,1.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0025,1.0,0.007,0.0,4.0,22.0,0.0055102770780856,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,0.6775,low,1.0,low,-0.1541,normal,1.0,low,1.0,low,1.0,low,1.0,low,0.486,normal,0.8164,0.001,keyword_dictionary_weighted,0.8663,0.2961,0.8973,0.1181,0.0037,0.2866,0.6512,0.2934,0.0037,0.8663,0.2961,risk,0.0,0.0,
australian_centre_on_china_in_the_world,Australian Centre on China in the World,Australia,Oceania,Australian National University,https://ror.org/01bj3aw27,University research center,"China in the world, history, society, politics",,https://ciw.anu.edu.au/,https://ciw.anu.edu.au/,2010.0,,,,,,,,ANU-based China research center.,AU,Australian National University,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian National University,Australian National University,,,https://ciw.anu.edu.au/publications-and-media,https://ciw.anu.edu.au/people,https://ciw.anu.edu.au/research,,,0.135593220338983,0.0169491525423728,0.0508474576271186,0.1694915254237288,0.0169491525423728,0.0338983050847457,,,,0.0169491525423728,0.0338983050847457,0.0338983050847457,,0.0169491525423728,0.4745762711864407,,59.0,1.0,0.0169,1.0,0.1307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0169,1.0,0.0356,0.0,1.0,0.0169,1.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0169,1.0,0.2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0394815254237288,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,-1.0,high,1.0,low,-0.0902,normal,-0.671,high,1.0,low,1.0,low,1.0,low,-1.0,high,1.0,low,1.0,low,0.6,0.0068,keyword_dictionary_weighted,0.1123,0.1119,0.0991,0.0,0.0,0.0,0.0746,0.0799,0.0,0.1123,0.1119,hawkish,0.0,0.0,
bocconi_asia_center_china_related_work,Bocconi Asia Center (China-related work),Italy,Europe / Asia,Bocconi University,,University center,Asia business and policy incl. China,,https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/about+us/our+sites/asia+center/,https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/about+us/our+sites/asia+center/,,,,,,,,,Bocconi Asia Center.,IT,Bocconi University,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bocconi University,Bocconi University,,,https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/about+us/our+sites/asia+center/,https://sdabocconiasiacenter.com/faculty/,https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/about+us/our+sites/asia+center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
brazil_china_business_council_research_programs,Brazil-China Business Council research programs,Brazil,Latin America,Brazil-China Business Council,,Research / business council,Brazil-China economic relations,,https://cebc.org.br/en/,https://cebc.org.br/en/,,,,,,,,,Brazil-China Business Council research output.,BR,Brazil-China Business Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil-China Business Council,Brazil-China Business Council,,,https://www.cebc.org.br/publicacoes,https://www.cebc.org.br/quem-somos,https://www.cebc.org.br/investimentos-chineses-no-brasil/,,,,,,,,0.0666666666666666,,,,,,,,,0.9333333333333332,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,0.0,keyword_dictionary_weighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hawkish,,,
brazil_china_interdisciplinary_studies_center_ciebc,Brazil-China Interdisciplinary Studies Center (CIEBC),Brazil,Latin America,University of Campinas (Unicamp),https://ror.org/03x66dy98,University interdisciplinary center,"Brazil-China relations across economics, social sciences, culture, science and technology",,https://internationaloffice.unicamp.br/en/2025/12/02/centro-interdisciplinar-de-estudos-brasil-china-e-inaugurado/,https://internationaloffice.unicamp.br/en/2025/12/02/centro-interdisciplinar-de-estudos-brasil-china-e-inaugurado/,2025.0,,,,,,,,Inaugurated in 2025.,BR,University of Campinas (Unicamp),academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Campinas (Unicamp),University of Campinas (Unicamp),,,https://internationaloffice.unicamp.br/en/2025/12/02/centro-interdisciplinar-de-estudos-brasil-china-e-inaugurado/,https://internationaloffice.unicamp.br/en/2025/12/02/centro-interdisciplinar-de-estudos-brasil-china-e-inaugurado/,https://internationaloffice.unicamp.br/en/2025/12/02/centro-interdisciplinar-de-estudos-brasil-china-e-inaugurado/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,United Kingdom,Europe,University of Cambridge / Cambridge Judge Business School,https://ror.org/013meh722,University research center,"Chinese firms, management, innovation, internationalisation",,https://www.jbs.cam.ac.uk/centres/chinese-management/,https://www.jbs.cam.ac.uk/centres/chinese-management/about-us/,2000.0,,,,,,,,Focused on Chinese enterprises and management.,GB,University of Cambridge; Cambridge Judge Business School,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Cambridge / Cambridge Judge Business School,University of Cambridge,,,https://www.jbs.cam.ac.uk/centres/chinese-management/research/publications/,https://www.jbs.cam.ac.uk/centres/chinese-management/,https://www.jbs.cam.ac.uk/centres/chinese-management/research/publications/,,,0.0142857142857142,0.0142857142857142,0.1142857142857142,0.0428571428571428,,0.0142857142857142,,,0.0142857142857142,0.0285714285714285,0.0428571428571428,,0.0857142857142857,0.2285714285714285,0.4,,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0143,2.0,0.0545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0054525714285714,0.0064965116279069,0.0019383720930232,0.0155023255813953,0.010113953488372,0.0021662790697674,0.0030755813953488,0.0042988372093023,0.0073627906976744,0.0054011627906976,0.004863953488372,1.0,low,1.0,low,1.0,low,-0.4139,normal,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,1.0,low,0.9,0.0014,keyword_dictionary_weighted,0.0971,0.1043,0.5267,0.0031,0.0001,0.0,0.1978,0.0745,0.0001,0.0971,0.1043,risk,0.0,0.0,
