institute_id,institute,institute_label,institute_name_canonical,parent_institution,country,region,total_docs,indexed_docs,policy_docs,grey_docs,grey_ready_docs,orientation_docs,wordfish_docs,dictionary_matched_docs,sensitive_docs,indexed_share,policy_share,grey_share,grey_ready_share,dictionary_match_rate,sensitive_curated_share,mean_embedding_score,median_embedding_score,mean_dictionary_score,median_dictionary_score,mean_wordfish_score,median_wordfish_score,sensitive_embedding_score_mean,sensitive_dictionary_score_mean,sensitive_wordfish_score_mean,taiwan_cross_strait_docs,taiwan_cross_strait_share,xinjiang_uyghur_falun_gong_docs,xinjiang_uyghur_falun_gong_share,hong_kong_tiananmen_docs,hong_kong_tiananmen_share,rights_tiananmen_docs,rights_tiananmen_share,censorship_academic_freedom_docs,censorship_academic_freedom_share,orientation_gap_sensitive_minus_all,confucius_institute_present,confucius_institute_closed,ci_closure_year,ci_partner_university,ci_match_method,ci_match_confidence,review_status,coding_priority,confucius_institute_present_norm,confucius_institute_closed_norm,director_prior_affiliation_china_analysis,director_china_academic_background_analysis,director_security_policy_background_analysis,has_joint_chinese_center,has_named_chinese_partner,chinese_partner_name_analysis,chinese_partner_state_linked_analysis,has_china_linked_funding,embeddedness_components_observed,embeddedness_index_v1,embeddedness_index_v1_share,coding_confidence
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis,China Policy Institute / CPI Analysis (University of Nottingham-linked analysis platform),China Policy Institute / CPI Analysis,University of Nottingham-linked analysis platform,United Kingdom,Europe,616,609,7,0,0,466,446,91,29,0.9886,0.0114,0.0,0.0,0.1477,0.0471,0.04589393,0.026386,-0.0560085944206008,0.0,-0.5483245426008969,-0.717832,0.27150255,-0.0660919655172413,0.8723044137931034,23,0.0373,2,0.0032,3,0.0049,0,0.0,1,0.0016,0.22560862,,,,,,,not_started,medium,,,,,,,,,,,0,,,
stanford_center_on_china_s_economy_and_institutions,Stanford Center on China's Economy and Institutions,Stanford Center on China's Economy and Institutions (Stanford University),Stanford Center on China's Economy and Institutions,Stanford University,United States,North America,478,464,14,0,0,402,395,23,0,0.9707,0.0293,0.0,0.0,0.0481,0.0,-0.109468564,-0.094805,-0.0115257039800995,0.0,-1.3780040151898736,-1.554261,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,yes,no,,Peking University,host_name_fuzzy,100.0,not_started,high,yes,no,,,,,yes,Peking University,,,2,2,1.0,
center_for_chinese_studies,Center for Chinese Studies,"Center for Chinese Studies (University of California, Berkeley)",Center for Chinese Studies,"University of California, Berkeley",United States,North America,463,458,5,0,0,366,344,81,7,0.9892,0.0108,0.0,0.0,0.1749,0.0151,0.08781828,0.071329,-0.0330145765027322,0.0,-0.0578628662790697,0.166765,0.017253723,-0.3095238571428571,0.861797,6,0.013,0,0.0,0,0.0,1,0.0022,0,0.0,-0.07056455,,,,,,,not_started,medium,,,,,,,,,,,0,,,
australia_china_relations_institute,Australia-China Relations Institute,Australia-China Relations Institute (University of Technology Sydney),Australia-China Relations Institute,University of Technology Sydney,Australia,Oceania,408,395,13,0,0,239,236,87,4,0.9681,0.0319,0.0,0.0,0.2132,0.0098,-0.052112825,-0.076627,-0.0806834184100418,0.0,0.1446242415254237,0.2065665,0.2990065,0.325,0.480534,1,0.0025,1,0.0025,0,0.0,0,0.0,2,0.0049,0.3511193,,,,,,,not_started,medium,,,,,,,,,,,0,,,
penn_project_on_the_future_of_u_s_china_relations,Penn Project on the Future of U.S.-China Relations,Penn Project on the Future of U.S.-China Relations (University of Pennsylvania),Penn Project on the Future of U.S.-China Relations,University of Pennsylvania,United States,North America,372,361,11,0,0,255,254,118,17,0.9704,0.0296,0.0,0.0,0.3172,0.0457,0.1920277,0.172295,0.0421645607843137,0.0,0.0352786811023622,0.274689,0.385558,0.1960784705882352,0.1903458823529411,1,0.0027,16,0.043,0,0.0,0,0.0,0,0.0,0.1935303,,,,,,,not_started,medium,,,,,,,,,,,0,,,
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC),Centre d'Études Français sur la Chine Contemporaine (CEFC) (French Centre for Research on Contemporary China),Centre d'Études Français sur la Chine Contemporaine (CEFC),French Centre for Research on Contemporary China,France / Hong Kong,Europe / Asia,347,347,0,0,0,251,222,62,38,1.0,0.0,0.0,0.0,0.1787,0.1095,-0.04737848,-0.03915,-0.0322045179282868,0.0,0.2687958063063063,0.311517,0.10353086,-0.1250000263157894,0.6495959473684211,32,0.0922,1,0.0029,4,0.0115,0,0.0,1,0.0029,0.15090933,,,,,,,not_started,medium,,,,,,,,,,,0,,,
university_of_oxford_china_centre,University of Oxford China Centre,University of Oxford China Centre (University of Oxford),University of Oxford China Centre,University of Oxford,United Kingdom,Europe,268,265,3,0,0,197,191,79,8,0.9888,0.0112,0.0,0.0,0.2948,0.0299,-0.04576348,-0.036381,-0.1001692182741116,0.0,0.1053976335078534,0.345376,0.29677138,0.09375,0.8263355,3,0.0112,2,0.0075,0,0.0,2,0.0075,1,0.0037,0.34253487,,,,,,,not_started,high,,,,,,,,,,,0,,,
durham_china_centre,Durham China Centre,Durham China Centre (Durham University),Durham China Centre,Durham University,United Kingdom,Europe,251,250,1,0,0,215,204,47,1,0.996,0.004,0.0,0.0,0.1873,0.004,0.04263269,0.068465,-0.0492248186046511,0.0,-1.041357926470588,-1.1374105,-0.175876,0.0,0.40849,0,0.0,0,0.0,1,0.004,0,0.0,0,0.0,-0.21850869,,,,,,,not_started,medium,,,,,,,,,,,0,,,
21st_century_china_center,21st Century China Center,21st Century China Center (University of California San Diego),21st Century China Center,University of California San Diego,United States,North America,242,235,7,0,0,169,166,58,3,0.9711,0.0289,0.0,0.0,0.2397,0.0124,0.1546293,0.09059,0.0262327514792899,0.0,0.3779740180722891,0.4543239999999999,0.112909995,0.0,0.6399696666666667,2,0.0083,0,0.0,0,0.0,1,0.0041,0,0.0,-0.04171931,,,,,,,not_started,high,,,,,,,,,,,0,,,
nordic_institute_of_asian_studies,Nordic Institute of Asian Studies,Nordic Institute of Asian Studies (University of Copenhagen),Nordic Institute of Asian Studies,University of Copenhagen,Denmark,Europe,240,238,2,0,0,154,132,50,8,0.9917,0.0083,0.0,0.0,0.2083,0.0333,-0.042526513,-0.093228504,-0.0254638246753246,0.0,0.5412376818181819,0.641535,0.33017775,0.0104166249999999,0.680169625,4,0.0167,0,0.0,1,0.0042,2,0.0083,1,0.0042,0.37270427,,,,,,,not_started,medium,,,,,,,,,,,0,,,
