institute_id,name,country,region,parent_institution,parent_ror,organization_type,china_focus_area,funding_source_if_available,official_url,source_url,year_established,confucius_institute_on_campus,joint_chinese_center,chinese_funding_presence,policy_vs_academic_orientation,publication_indexed_share,china_coauthorship_share,policy_output_share,notes,country_iso2,parent_institution_normalized,institute_type_category,confucius_institute_present,confucius_institute_closed,ci_closure_year,ci_partner_university,china_funding_present,china_funding_type,china_university_partner,director_name,director_start_year,director_end_year,director_background_type,director_security_policy_background,director_china_academic_background,director_prior_affiliation_china,director_change_year,director_change_post_ci_closure,disciplinary_orientation_primary,disciplinary_orientation_secondary,discipline_history_share,discipline_politics_share,discipline_economics_share,discipline_law_share,discipline_society_culture_share,discipline_science_technology_share,discipline_security_strategy_share,discipline_interdisciplinary_share,discipline_detection_method,publication_count,topic_security_share,topic_economy_share,topic_governance_share,topic_cooperation_share,hawkishness_score,engagement_score,risk_framing_score,sensitive_topic_share_x,sensitive_topic_index,sensitive_topic_avoidance_score,sensitive_topic_count,tiananmen_topic_share,falun_gong_topic_share,xinjiang_topic_share,tibet_topic_share,hongkong_democracy_topic_share,human_rights_topic_share,tiananmen_topic_count,falun_gong_topic_count,xinjiang_topic_count,tibet_topic_count,hongkong_topic_count,human_rights_topic_count,sensitive_topic_detection_method,parent_institution_original,parent_institution_effective,chinese_partner_inferred,openalex_parent_institution_id,resolved_publications_url,resolved_people_url,resolved_reports_url,ci_match_method,ci_match_confidence,year,total_docs,indexed_docs,grey_docs,policy_docs,indexed_share,grey_share,policy_share,topic_domestic_politics_docs,topic_environment_climate_docs,topic_health_science_docs,topic_history_culture_docs,topic_hong_kong_docs,topic_ir_foreign_policy_docs,topic_law_institutions_docs,topic_media_information_docs,topic_regional_global_south_docs,topic_security_military_docs,topic_society_demographics_docs,topic_taiwan_strait_docs,topic_technology_cyber_docs,topic_trade_economics_docs,topic_unclassified_docs,topic_xinjiang_tibet_docs,topic_domestic_politics_share,topic_environment_climate_share,topic_health_science_share,topic_history_culture_share,topic_hong_kong_share,topic_ir_foreign_policy_share,topic_law_institutions_share,topic_media_information_share,topic_regional_global_south_share,topic_security_military_share,topic_society_demographics_share,topic_taiwan_strait_share,topic_technology_cyber_share,topic_trade_economics_share,topic_unclassified_share,topic_xinjiang_tibet_share,sensitive_docs,sensitive_topic_share_y,pre_post_ci_closure
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2008,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2011,25,25,0,0,1.0,0.0,0.0,0,0,0,3,0,0,0,0,0,10,3,1,0,4,4,0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.12,0.04,0.0,0.16,0.16,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2012,9,9,0,0,1.0,0.0,0.0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0.2222,0.0,0.0,0.3333,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1,0.1111,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2013,16,16,0,0,1.0,0.0,0.0,1,1,0,3,0,0,0,0,0,3,0,0,0,5,3,0,0.0625,0.0625,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.1875,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2014,9,9,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,2,0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.1111,0.1111,0.2222,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2015,13,13,0,0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,1,3,5,0,0.0,0.0769,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0769,0.2308,0.3846,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2016,18,18,0,0,1.0,0.0,0.0,2,3,0,2,0,0,0,0,0,4,0,1,0,3,3,0,0.1111,0.1667,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0556,0.0,0.1667,0.1667,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2017,19,19,0,0,1.0,0.0,0.0,1,0,0,0,0,1,1,0,0,5,2,0,0,2,7,0,0.0526,0.0,0.0,0.0,0.0,0.0526,0.0526,0.0,0.0,0.2632,0.1053,0.0,0.0,0.1053,0.3684,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2018,18,18,0,0,1.0,0.0,0.0,2,0,0,2,0,1,0,0,0,1,0,0,1,3,8,0,0.1111,0.0,0.0,0.1111,0.0,0.0556,0.0,0.0,0.0,0.0556,0.0,0.0,0.0556,0.1667,0.4444,0.0,0,0.0,
21st_century_china_center,21st Century China Center,United States,North America,University of California San Diego,https://ror.org/0168r3w48,University policy research center,"Chinese politics, economy, society, US-China relations",Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,https://china.ucsd.edu/,https://china.ucsd.edu/about/index.html,2011.0,,,,,,,,Hosts China Data Lab and policy programming.,US,University of California San Diego,policy / think tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California San Diego,University of California San Diego,,,https://www.ssrn.com/index.cfm/en/21st-century-china-center-res/,https://china.ucsd.edu/scholars/core-faculty.html,https://china.ucsd.edu/policy/analysis.html,,,2019,22,22,0,0,1.0,0.0,0.0,0,1,0,3,1,1,0,0,0,1,2,0,0,6,7,0,0.0,0.0455,0.0,0.1364,0.0455,0.0455,0.0,0.0,0.0,0.0455,0.0909,0.0,0.0,0.2727,0.3182,0.0,1,0.0455,
