institute_id,institute,institute_label,institute_name_canonical,parent_institution,country,region,year,total_docs,indexed_docs,policy_docs,grey_docs,grey_ready_docs,orientation_docs,wordfish_docs,dictionary_matched_docs,sensitive_docs,indexed_share,policy_share,grey_share,grey_ready_share,dictionary_match_rate,sensitive_curated_share,mean_embedding_score,median_embedding_score,mean_dictionary_score,median_dictionary_score,mean_wordfish_score,median_wordfish_score,sensitive_embedding_score_mean,sensitive_dictionary_score_mean,sensitive_wordfish_score_mean,taiwan_cross_strait_docs,taiwan_cross_strait_share,xinjiang_uyghur_falun_gong_docs,xinjiang_uyghur_falun_gong_share,hong_kong_tiananmen_docs,hong_kong_tiananmen_share,rights_tiananmen_docs,rights_tiananmen_share,censorship_academic_freedom_docs,censorship_academic_freedom_share,orientation_gap_sensitive_minus_all,confucius_institute_present,confucius_institute_closed,ci_closure_year,ci_partner_university,ci_match_method,ci_match_confidence,review_status,coding_priority,confucius_institute_present_norm,confucius_institute_closed_norm,director_prior_affiliation_china_analysis,director_china_academic_background_analysis,director_security_policy_background_analysis,has_joint_chinese_center,has_named_chinese_partner,chinese_partner_name_analysis,chinese_partner_state_linked_analysis,has_china_linked_funding,embeddedness_components_observed,embeddedness_index_v1,embeddedness_index_v1_share,coding_confidence
australian_centre_on_china_in_the_world,Australian Centre on China in the World,Australian Centre on China in the World (Australian National University),Australian Centre on China in the World,Australian National University,Australia,Oceania,1950,1,0,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.168849,0.168849,0.0,0.0,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
china_matters,China Matters,China Matters (Independent policy organization),China Matters,Independent policy organization,Australia,Oceania,1952,2,0,2,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.456917,-0.456917,0.0,0.0,0.318766,0.318766,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
australian_centre_on_china_in_the_world,Australian Centre on China in the World,Australian Centre on China in the World (Australian National University),Australian Centre on China in the World,Australian National University,Australia,Oceania,1956,1,0,1,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.062178,-0.062178,0.0,0.0,1.569864,1.569864,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
stanford_center_on_china_s_economy_and_institutions,Stanford Center on China's Economy and Institutions,Stanford Center on China's Economy and Institutions (Stanford University),Stanford Center on China's Economy and Institutions,Stanford University,United States,North America,1974,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,yes,no,,Peking University,host_name_fuzzy,100.0,not_started,high,yes,no,,,,,yes,Peking University,,,2,2,1.0,
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies,Fairbank Center for Chinese Studies (Harvard University),Fairbank Center for Chinese Studies,Harvard University,United States,North America,1982,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
hopkins_nanjing_center,Hopkins-Nanjing Center,Hopkins-Nanjing Center (Johns Hopkins SAIS & Nanjing University),Hopkins-Nanjing Center,Johns Hopkins SAIS & Nanjing University,China / United States,Asia / North America,1982,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,high,,,,,,,yes,Nanjing University,,,1,1,1.0,
australian_centre_on_china_in_the_world,Australian Centre on China in the World,Australian Centre on China in the World (Australian National University),Australian Centre on China in the World,Australian National University,Australia,Oceania,1992,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
institute_of_international_relations_china_studies_stream,Institute of International Relations - China studies stream,Institute of International Relations - China studies stream (National Chengchi University),Institute of International Relations - China studies stream,National Chengchi University,Taiwan,Asia,1996,1,0,1,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.260229,-0.260229,0.0,0.0,0.165807,0.165807,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies,Fairbank Center for Chinese Studies (Harvard University),Fairbank Center for Chinese Studies,Harvard University,United States,North America,1998,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,medium,,,,,,,,,,,0,,,
hopkins_nanjing_center,Hopkins-Nanjing Center,Hopkins-Nanjing Center (Johns Hopkins SAIS & Nanjing University),Hopkins-Nanjing Center,Johns Hopkins SAIS & Nanjing University,China / United States,Asia / North America,1998,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,not_started,high,,,,,,,yes,Nanjing University,,,1,1,1.0,
