model,term,estimate,std_error_cluster,p_value,ci_low,ci_high,n_rows,n_clusters
region_year,Intercept,0.0716942220840515,0.031513536738293796,0.0257239225537862,0.009927690076995663,0.13346075409110736,1080,77
region_year,region[Europe],-0.0752799224407079,0.03861559489995972,0.05492882599066399,-0.15096648844462895,0.00040664356321315487,1080,77
region_year,region[Asia],-0.10326099374366154,0.07742197721829958,0.18627160335961848,-0.25500806909152873,0.048486081604205616,1080,77
region_year,region[Oceania],-0.11237685609258874,0.048977580366024356,0.024526624502180294,-0.2083729136099965,-0.016380798575181002,1080,77
region_year,region[Mixed/Other],-0.08937393761082657,0.04886076669483125,0.07129885917604051,-0.1851410403326958,0.006393165111042667,1080,77
region_year,year_centered,0.0038225583478431035,0.0018207961359153957,0.03910253517504366,0.00025379792144892806,0.007391318774237279,1080,77
region_year_source_type,Intercept,0.06429860147232741,0.04023472163269874,0.11417316171266922,-0.01456145292776212,0.14315865587241694,1080,77
region_year_source_type,region[Europe],-0.06322175221805454,0.04527471893629048,0.16665831889866653,-0.1519602013331839,0.02551669689707481,1080,77
region_year_source_type,region[Asia],-0.08622019789922758,0.08243806719886014,0.2989322239995149,-0.24779880960899345,0.07535841381053829,1080,77
region_year_source_type,region[Oceania],-0.12085203668686095,0.05234206419276571,0.023669122915228134,-0.22344248250468174,-0.018261590869040167,1080,77
region_year_source_type,region[Mixed/Other],-0.05425137931074375,0.06032366985147536,0.3713132488181862,-0.17248577221963546,0.06398301359814795,1080,77
region_year_source_type,year_centered,0.0032035613446363704,0.0019169483919061134,0.09879971545660819,-0.0005536575034996117,0.0069607801927723525,1080,77
region_year_source_type,policy_share,-0.1973027806017548,0.04581810493671413,4.900990795341748e-05,-0.2871062662777145,-0.1074992949257951,1080,77
region_year_source_type,type[joint center],-0.03600505681356857,0.04739090247195843,0.4497566244592673,-0.12889122565860708,0.05688111203146995,1080,77
region_year_source_type,type[missing],-0.10122876712595062,0.04994637746462729,0.046196074907644054,-0.1991236669566201,-0.003333867295281137,1080,77
region_year_source_type,type[network],-0.00679686550631979,0.09950352886219062,0.9457200257510083,-0.20182378207621338,0.18823005106357382,1080,77
region_year_source_type,type[policy / think tank],0.05806942551308013,0.039490466900919355,0.1455634937027661,-0.01933188961272181,0.13547074063888206,1080,77
region_year_source_type,type[program / project],0.048831566001937964,0.057392304521597375,0.39753200639086933,-0.0636573508603929,0.1613204828642688,1080,77
