institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,security_strategy_oriented_prop,security_strategy_rival_among_oriented,security_strategy_collaborator_among_oriented,security_strategy_rival_prop,security_strategy_collaborator_prop,security_strategy_neutral_prop,economy_trade_salience_share,economy_trade_oriented_prop,economy_trade_rival_among_oriented,economy_trade_collaborator_among_oriented,economy_trade_rival_prop,economy_trade_collaborator_prop,economy_trade_neutral_prop,science_technology_salience_share,science_technology_oriented_prop,science_technology_rival_among_oriented,science_technology_collaborator_among_oriented,science_technology_rival_prop,science_technology_collaborator_prop,science_technology_neutral_prop,environment_climate_salience_share,environment_climate_oriented_prop,environment_climate_rival_among_oriented,environment_climate_collaborator_among_oriented,environment_climate_rival_prop,environment_climate_collaborator_prop,environment_climate_neutral_prop,governance_law_salience_share,governance_law_oriented_prop,governance_law_rival_among_oriented,governance_law_collaborator_among_oriented,governance_law_rival_prop,governance_law_collaborator_prop,governance_law_neutral_prop,society_culture_salience_share,society_culture_oriented_prop,society_culture_rival_among_oriented,society_culture_collaborator_among_oriented,society_culture_rival_prop,society_culture_collaborator_prop,society_culture_neutral_prop,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_strategy_weight,economy_trade_weight,science_technology_weight,environment_climate_weight,governance_law_weight,society_culture_weight,security_strategy_rival_share,security_strategy_collaborator_share,security_strategy_neutral_share,economy_trade_rival_share,economy_trade_collaborator_share,economy_trade_neutral_share,science_technology_rival_share,science_technology_collaborator_share,science_technology_neutral_share,environment_climate_rival_share,environment_climate_collaborator_share,environment_climate_neutral_share,governance_law_rival_share,governance_law_collaborator_share,governance_law_neutral_share,society_culture_rival_share,society_culture_collaborator_share,society_culture_neutral_share
21st_century_china_center,21st Century China Center,227,227,181,0.797357,181.000002,security_strategy,0.264586,society_culture,0.257146,0.00744,False,True,False,2008.0,2026.0,0.264586,0.081997,0.874861,0.125139,0.071736,0.010261,0.918003,0.191298,0.027452,0.281473,0.718527,0.007727,0.019725,0.972547,0.129848,0.060429,0.039402,0.960598,0.002381,0.058048,0.939572,0.027069,0.0,0.0,0.0,0.0,0.0,1.0,0.130054,0.009384,0.565644,0.434356,0.005308,0.004076,0.990615,0.257146,0.022074,0.715502,0.284498,0.015794,0.00628,0.977926,0.02552,0.016171,0.95831,0.041691,0.612123,0.387877,47.890062,34.624887,23.502454,4.899412,23.53972,46.543467,3.435458,0.491402,43.963202,0.267555,0.682986,33.674347,0.055954000000000004,1.364259,22.082242,0.0,0.0,4.899412,0.124953,0.09595899999999999,23.318809,0.735124,0.29227,45.516073
asia_institute_china_related_programs,Asia Institute (China-related programs),165,165,129,0.781818,128.999995,society_culture,0.269727,governance_law,0.26231,0.007417,False,True,False,2000.0,2026.0,0.047428,0.053621,0.247105,0.752895,0.01325,0.040371,0.946378,0.215702,0.071321,0.312124,0.687876,0.022261,0.04906,0.928679,0.087985,0.0142,0.0,1.0,0.0,0.0142,0.9858,0.116848,0.011383,1.0,0.0,0.011383,0.0,0.988617,0.26231,0.093089,0.047428,0.952572,0.004415,0.088674,0.906911,0.269727,0.038696,0.014782,0.985218,0.000572,0.038124,0.961305,0.008073,0.047289,0.944638,0.055362,0.145822,0.854178,6.118227,27.825497,11.350053,15.073447,33.838025,34.794745999999996,0.081069,0.247001,5.790157,0.619428,1.3651170000000001,25.840952,0.0,0.161173,11.18888,0.171585,0.0,14.901862,0.14940799999999999,3.000538,30.688079,0.019897,1.326502,33.448347
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),98,98,47,0.479592,46.999998,society_culture,0.611493,security_strategy,0.129538,0.481955,False,False,False,2000.0,2025.0,0.129538,0.027693,0.020438,0.979562,0.000566,0.027127,0.972307,0.080738,0.000907,1.0,0.0,0.000907,0.0,0.999093,0.110126,0.01136,0.527025,0.472975,0.005987,0.005373,0.98864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068104,0.075235,0.0,1.0,0.0,0.075235,0.924765,0.611493,0.024622,0.233531,0.766469,0.00575,0.018872,0.975378,0.004322,0.02077,0.974909,0.025092,0.172246,0.827754,6.088306,3.794697,5.175919,0.0,3.200884,28.740192,0.003443,0.165158,5.919705,0.003443,0.0,3.791254,0.030986,0.027811,5.117122,0.0,0.0,0.0,0.0,0.240817,2.960067,0.165257,0.542381,28.032554
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),86,86,49,0.569767,49.0,science_technology,0.394116,society_culture,0.227461,0.166655,False,False,False,2002.0,2025.0,0.092638,0.307716,0.0,1.0,0.0,0.307716,0.692284,0.188007,0.081803,0.0,1.0,0.0,0.081803,0.918197,0.394116,0.147179,0.0,1.0,0.0,0.147179,0.852821,0.047619,0.0,0.0,0.0,0.0,0.0,1.0,0.050159,0.0,0.0,0.0,0.0,0.0,1.0,0.227461,0.059027,0.0,1.0,0.0,0.059027,0.940973,0.0,0.115318,0.884682,0.115318,0.0,1.0,4.5392470000000005,9.212346,19.311704,2.333333,2.4577780000000002,11.145592,0.0,1.3968,3.142447,0.0,0.7535970000000001,8.458749000000001,0.0,2.842286,16.469418,0.0,0.0,2.333333,0.0,0.0,2.4577780000000002,0.0,0.657895,10.487697
australia_china_relations_institute,Australia-China Relations Institute,376,376,281,0.74734,280.999995,security_strategy,0.279936,environment_climate,0.230015,0.049921,False,True,False,2011.0,2026.0,0.279936,0.112915,0.294877,0.705123,0.033296,0.079619,0.887085,0.19619,0.070152,0.152626,0.847374,0.010707,0.059445,0.929847,0.123784,0.049627,0.353054,0.646946,0.017521,0.032106,0.950373,0.230015,0.042737,0.177832,0.822168,0.0076,0.035137,0.957264,0.028792,0.073217,0.439311,0.560689,0.032165,0.041052,0.926783,0.141282,0.077139,0.134653,0.865347,0.010387,0.066752,0.922862,0.017732,0.05662,0.925648,0.074352,0.238487,0.761513,78.662122,55.129405,34.783339,64.634163,8.090684,39.700282,2.619163,6.262992,69.779967,0.5902959999999999,3.277182,51.261927,0.609425,1.1167529999999999,33.057161,0.491199,2.2710280000000003,61.871936,0.260236,0.332136,7.498312,0.412351,2.650055,36.637876
australian_centre_on_china_in_the_world,Australian Centre on China in the World,54,54,34,0.62963,34.0,society_culture,0.361535,governance_law,0.234489,0.127046,False,False,False,2010.0,2026.0,0.224029,0.067044,0.0,1.0,0.0,0.067044,0.932956,0.059359,0.202032,0.0,1.0,0.0,0.202032,0.797968,0.105882,0.0,0.0,0.0,0.0,0.0,1.0,0.014706,0.0,0.0,0.0,0.0,0.0,1.0,0.234489,0.025946,0.0,1.0,0.0,0.025946,0.974054,0.361535,0.101278,0.0,1.0,0.0,0.101278,0.898722,0.0,0.069712,0.930288,0.069712,0.0,1.0,7.61699,2.018212,3.6,0.5,7.972619,12.292179,0.0,0.510675,7.106315,0.0,0.407744,1.610468,0.0,0.0,3.6,0.0,0.0,0.5,0.0,0.206859,7.76576,0.0,1.244929,11.04725
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,67,67,53,0.791045,53.0,science_technology,0.414106,economy_trade,0.304679,0.109427,False,False,False,2003.0,2025.0,0.09717,0.150666,0.919816,0.080184,0.138585,0.012081,0.849334,0.304679,0.035635,0.017763,0.982237,0.000633,0.035002,0.964365,0.414106,0.049485,0.181995,0.818005,0.009006,0.040479,0.950515,0.021527,0.165151,0.081441,0.918559,0.01345,0.151701,0.83485,0.041063,0.103728,0.790221,0.209779,0.081968,0.02176,0.896272,0.121455,0.136866,0.664446,0.335554,0.09094,0.045926,0.863134,0.032089,0.038338,0.929573,0.070427,0.455635,0.544365,5.149987,16.148004,21.947639,1.140955,2.176316,6.437099,0.713713,0.062215,4.37406,0.010228,0.565206,15.572571,0.197661,0.888428,20.86155,0.015345999999999999,0.17308400000000002,0.952526,0.178389,0.047355999999999995,1.950571,0.585388,0.295632,5.55608
carnegie_china,Carnegie China,40,40,30,0.75,30.0,economy_trade,0.358471,security_strategy,0.220826,0.137645,False,False,False,2010.0,2025.0,0.220826,0.070004,0.228658,0.771342,0.016007,0.053997,0.929996,0.358471,0.217057,0.788387,0.211613,0.171125,0.045932,0.782943,0.137402,0.006654,0.058762,0.941238,0.000391,0.006263,0.993346,0.062172,0.002022,0.058853,0.941147,0.000119,0.001903,0.997978,0.124178,0.008835,0.058857,0.941143,0.00052,0.008315,0.991165,0.09695,0.012683,0.022944,0.977056,0.000291,0.012392,0.987317,0.065032,0.031602,0.903366,0.096634,0.672972,0.327028,6.624795,10.754116,4.1220490000000005,1.865172,3.7253540000000003,2.908514,0.106041,0.35772000000000004,6.161034,1.8402990000000001,0.493958,8.419859,0.001613,0.025815,4.09462,0.000222,0.00355,1.861401,0.001936,0.030978,3.69244,0.000847,0.036041000000000004,2.871626
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work),71,71,65,0.915493,65.000001,security_strategy,0.355086,society_culture,0.333802,0.021284,False,True,False,2003.0,2025.0,0.355086,0.276974,0.807343,0.192657,0.223613,0.053361,0.723026,0.088514,0.044584,0.949735,0.050265,0.042343,0.002241,0.955416,0.045684,0.099574,0.563922,0.436078,0.056152,0.043422,0.900426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176914,0.149613,0.439608,0.560392,0.065771,0.083842,0.850387,0.333802,0.005885,0.394053,0.605947,0.002319,0.003566,0.994116,0.098125,0.037153,0.864722,0.135278,0.725358,0.274642,23.080607,5.753402,2.969462,0.0,11.499385,21.697145,5.161116,1.231609,16.687883,0.243616,0.012894,5.496892,0.166741,0.128939,2.673782,0.0,0.0,0.0,0.7563310000000001,0.964132,9.778923,0.050305,0.077363,21.569477
center_for_china_analysis,Center for China Analysis,2,2,1,0.5,1.0,science_technology,1.0,security_strategy,0.0,1.0,False,False,True,2023.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
