institute_id,institute_name,low_volume_flag,cluster_id,cluster_label,cluster_dominant_domain,cluster_orientation_mode,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented
21st_century_china_center,21st Century China Center,False,4.0,cluster_4_society_culture_rival,society_culture,rival,security_strategy,0.264586,society_culture,0.257146,0.00744,False,True,0.02552,0.016171,0.95831,0.041691,0.612123,0.387877
asia_institute_china_related_programs,Asia Institute (China-related programs),False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.269727,governance_law,0.26231,0.007417,False,True,0.008073,0.047289,0.944638,0.055362,0.145822,0.854178
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.611493,security_strategy,0.129538,0.481955,False,False,0.004322,0.02077,0.974909,0.025092,0.172246,0.827754
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,science_technology,0.394116,society_culture,0.227461,0.166655,False,False,0.0,0.115318,0.884682,0.115318,0.0,1.0
australia_china_relations_institute,Australia-China Relations Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.279936,environment_climate,0.230015,0.049921,False,True,0.017732,0.05662,0.925648,0.074352,0.238487,0.761513
australian_centre_on_china_in_the_world,Australian Centre on China in the World,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.361535,governance_law,0.234489,0.127046,False,False,0.0,0.069712,0.930288,0.069712,0.0,1.0
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,False,4.0,cluster_4_society_culture_rival,society_culture,rival,science_technology,0.414106,economy_trade,0.304679,0.109427,False,False,0.032089,0.038338,0.929573,0.070427,0.455635,0.544365
carnegie_china,Carnegie China,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.358471,security_strategy,0.220826,0.137645,False,False,0.065032,0.031602,0.903366,0.096634,0.672972,0.327028
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work),False,4.0,cluster_4_society_culture_rival,society_culture,rival,security_strategy,0.355086,society_culture,0.333802,0.021284,False,True,0.098125,0.037153,0.864722,0.135278,0.725358,0.274642
center_for_china_analysis,Center for China Analysis,True,,low_volume_unclustered,,,science_technology,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0
center_for_china_studies,Center for China Studies,True,,low_volume_unclustered,,,society_culture,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0
center_for_chinese_studies,Center for Chinese Studies,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.424896,economy_trade,0.191243,0.233653,False,False,0.026085,0.059805,0.914109,0.08589,0.303702,0.696298
center_for_chinese_studies_berkeley,Center for Chinese Studies,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.53585,security_strategy,0.220357,0.315493,False,False,0.018633,0.057707,0.92366,0.07634,0.244079,0.755921
center_for_chinese_studies_hawaii_manoa,Center for Chinese Studies,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687
center_for_chinese_studies_michigan,Center for Chinese Studies,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687
center_for_east_asian_studies,Center for East Asian Studies,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.752447,economy_trade,0.06749,0.684957,False,False,0.005959,0.077103,0.916938,0.083062,0.071742,0.928258
center_for_international_and_regional_studies_china_related_work,Center for International and Regional Studies (China-related work),False,3.0,cluster_3_economy_trade_neutral,economy_trade,neutral,society_culture,0.354506,economy_trade,0.32725,0.027256,False,True,0.0,0.0,1.0,0.0,0.0,0.0
center_on_u_s_china_relations,Center on U.S.-China Relations,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.447977,governance_law,0.174078,0.273899,False,False,0.053849,0.076009,0.870142,0.129858,0.414676,0.585324
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC),False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.465902,security_strategy,0.216683,0.249219,False,False,0.01536,0.037484,0.947156,0.052844,0.290667,0.709333
centre_for_china_studies,Centre for China Studies,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.54572,society_culture,0.19336,0.35236,False,False,0.037406,0.094855,0.867739,0.132261,0.28282,0.71718
china_africa_research_initiative,China Africa Research Initiative,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.654821,society_culture,0.125982,0.528839,False,False,0.003207,0.159074,0.837718,0.162281,0.019762,0.980238
china_institute,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.215539,society_culture,0.182101,0.033438,False,True,0.003032,0.072037,0.924931,0.075069,0.04039,0.95961
china_institute_birmingham,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814
china_institute_chulalongkorn,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814
china_institute_csun,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814
china_institute_malaya,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090614,0.902651,0.097349,0.069184,0.930816
china_institute_waterloo,China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814
china_matters,China Matters,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,security_strategy,0.349201,economy_trade,0.243135,0.106066,False,False,0.003334,0.014606,0.982059,0.01794,0.185842,0.814158
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.264016,security_strategy,0.213915,0.050101,False,False,0.01773,0.039269,0.943001,0.056999,0.311058,0.688942
china_research_center,China Research Center,True,,low_volume_unclustered,,,science_technology,0.5,society_culture,0.5,0.0,True,True,0.0,0.0,1.0,0.0,0.0,0.0
china_research_centre,China Research Centre,True,,low_volume_unclustered,,,security_strategy,0.0,economy_trade,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_centre,China Studies Centre,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.49036,economy_trade,0.201072,0.289288,False,False,0.019506,0.069266,0.911229,0.088772,0.219731,0.780269
china_studies_program,China Studies Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.404606,security_strategy,0.200214,0.204392,False,False,0.0,0.024234,0.975766,0.024234,0.0,1.0
china_studies_institute_yonsei,China Studies Institute,True,,low_volume_unclustered,,,society_culture,0.629032,security_strategy,0.354839,0.274193,False,False,0.0,0.300165,0.699835,0.300165,0.0,1.0
china_studies_institute_aascu,China Studies Institute,True,,low_volume_unclustered,,,society_culture,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0
china_studies_institute,China Studies Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.66648,society_culture,0.16093,0.50555,False,False,0.01542,0.053147,0.931433,0.068567,0.22489,0.77511
china_studies_program_chulalongkorn,China Studies Program,True,,low_volume_unclustered,,,society_culture,0.379428,security_strategy,0.339587,0.039841,False,True,0.045554,0.248631,0.705815,0.294185,0.154848,0.845152
china_studies_program_washington,China Studies Program,True,,low_volume_unclustered,,,society_culture,0.434928,security_strategy,0.286031,0.148897,False,False,0.028989,0.15822,0.812792,0.187209,0.154848,0.845152
china_programme_twai,China programme,True,,low_volume_unclustered,,,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,0.0,0.120139,0.879861,0.120139,0.0,1.0
china_programme_ifri,China programme,True,,low_volume_unclustered,,,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,0.0,0.120139,0.879861,0.120139,0.0,1.0
china_programme,China programme,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.384295,governance_law,0.243796,0.140499,False,False,0.053841,0.073163,0.872996,0.127004,0.423932,0.576068
china_programs,China programs,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,economy_trade,0.40055,society_culture,0.21447,0.18608,False,False,0.030922,0.07101,0.898068,0.101932,0.303359,0.696641
chinese_studies_program,Chinese Studies Program,False,4.0,cluster_4_society_culture_rival,society_culture,rival,society_culture,0.517695,governance_law,0.18716,0.330535,False,False,0.035552,0.033334,0.931114,0.068886,0.516099,0.483901
contemporary_china_studies_programme_ccsp,Contemporary China Studies Programme (CCSP),False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.511848,economy_trade,0.153402,0.358446,False,False,0.014635,0.044013,0.941352,0.058648,0.24954,0.75046
cornell_china_center,Cornell China Center,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.305112,security_strategy,0.217821,0.087291,False,False,0.014069,0.035121,0.95081,0.04919,0.286013,0.713987
durham_china_centre,Durham China Centre,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,economy_trade,0.239384,society_culture,0.216021,0.023363,False,True,0.017935,0.030598,0.951466,0.048533,0.369542,0.630458
east_asian_institute,East Asian Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.33347,security_strategy,0.230999,0.102471,False,False,0.007942,0.089601,0.902457,0.097543,0.081421,0.918579
east_asian_studies_center,East Asian Studies Center,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.468347,environment_climate,0.139321,0.329026,False,False,0.010949,0.01857,0.970481,0.029519,0.370914,0.629086
european_think_tank_network_on_china_etnc,European Think-tank Network on China (ETNC),False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.382609,economy_trade,0.301511,0.081098,False,False,0.040122,0.095386,0.864492,0.135508,0.296086,0.703914
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.551247,society_culture,0.165517,0.38573,False,False,0.024534,0.073304,0.902163,0.097838,0.250761,0.749239
freeman_chair_in_china_studies,Freeman Chair in China Studies,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.368409,governance_law,0.238369,0.13004,False,False,0.046403,0.082969,0.870628,0.129372,0.358679,0.641321
georgetown_initiative_for_u_s_china_dialogue_on_global_issues,Georgetown Initiative for U.S.-China Dialogue on Global Issues,False,4.0,cluster_4_society_culture_rival,society_culture,rival,security_strategy,0.372485,governance_law,0.18068,0.191805,False,False,0.042079,0.0,0.957921,0.042079,1.0,0.0
global_china_center,Global China Center,True,,low_volume_unclustered,,,economy_trade,0.392804,environment_climate,0.16118,0.231624,False,False,0.0,0.114468,0.885532,0.114468,0.0,1.0
hoover_china_s_global_sharp_power_project,Hoover China's Global Sharp Power Project,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.538756,science_technology,0.16546,0.373296,False,False,0.149623,0.083874,0.766503,0.233497,0.640792,0.359208
hopkins_nanjing_center,Hopkins-Nanjing Center,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.480085,security_strategy,0.237072,0.243013,False,False,0.034855,0.148413,0.816732,0.183268,0.190186,0.809814
institute_for_china_america_studies,Institute for China-America Studies,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.578591,economy_trade,0.263431,0.31516,False,False,0.005387,0.113276,0.881338,0.118663,0.045397,0.954603
institute_of_asian_research_china_programs,Institute of Asian Research (China programs),False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,governance_law,0.388759,society_culture,0.242833,0.145926,False,False,0.003334,0.045833,0.950833,0.049167,0.06781,0.93219
institute_of_chinese_studies,Institute of Chinese Studies,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.543893,economy_trade,0.183866,0.360027,False,False,0.023197,0.170695,0.806108,0.193892,0.119639,0.880361
institute_of_international_relations_china_studies_stream,Institute of International Relations - China studies stream,False,3.0,cluster_3_economy_trade_neutral,economy_trade,neutral,governance_law,0.403254,economy_trade,0.2462,0.157054,False,False,0.0,0.0,1.0,0.0,0.0,0.0
john_l_thornton_china_center,John L. Thornton China Center,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.366224,security_strategy,0.321471,0.044753,False,True,0.051676,0.11973,0.828594,0.171406,0.301483,0.698517
kissinger_institute_on_china_and_the_united_states,Kissinger Institute on China and the United States,True,,low_volume_unclustered,,,economy_trade,0.611283,security_strategy,0.270043,0.34124,False,False,0.069171,0.206736,0.724093,0.275907,0.250704,0.749296
lau_china_institute,Lau China Institute,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,security_strategy,0.33545,governance_law,0.308189,0.027261,False,True,0.022707,0.046007,0.931286,0.068714,0.330457,0.669543
leiden_asia_centre,Leiden Asia Centre,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.287499,governance_law,0.220008,0.067491,False,False,0.017995,0.077072,0.904933,0.095067,0.189288,0.810712
manchester_china_institute,Manchester China Institute,False,4.0,cluster_4_society_culture_rival,society_culture,rival,society_culture,0.369091,security_strategy,0.209003,0.160088,False,False,0.054309,0.029829,0.915862,0.084138,0.645475,0.354525
mercator_institute_for_china_studies_merics,Mercator Institute for China Studies (MERICS),False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,economy_trade,0.322904,governance_law,0.204778,0.118126,False,False,0.022088,0.066988,0.910924,0.089076,0.247968,0.752032
needham_research_institute,Needham Research Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.76382,science_technology,0.080656,0.683164,False,False,0.00707,0.020665,0.972265,0.027735,0.254913,0.745087
new_zealand_contemporary_china_research_centre,New Zealand Contemporary China Research Centre,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.335801,society_culture,0.333834,0.001967,False,True,0.050075,0.081192,0.868733,0.131267,0.381474,0.618526
nordic_institute_of_asian_studies,Nordic Institute of Asian Studies,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,governance_law,0.401647,security_strategy,0.231022,0.170625,False,False,0.020869,0.054953,0.924178,0.075822,0.275237,0.724763
paul_tsai_china_center,Paul Tsai China Center,False,0.0,cluster_0_society_culture_neutral,society_culture,neutral,society_culture,0.320432,security_strategy,0.282926,0.037506,False,True,0.026816,0.033001,0.940184,0.059817,0.448301,0.551699
penn_project_on_the_future_of_u_s_china_relations,Penn Project on the Future of U.S.-China Relations,False,4.0,cluster_4_society_culture_rival,society_culture,rival,security_strategy,0.394439,economy_trade,0.177881,0.216558,False,False,0.05057,0.048329,0.901102,0.098899,0.51133,0.48867
penn_wharton_china_center,Penn Wharton China Center,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.355112,governance_law,0.320749,0.034363,False,True,0.018253,0.053068,0.928679,0.071321,0.255927,0.744073
