institute_id,institute_name,theory_typology,theory_typology_confidence,theory_typology_borderline,low_volume_flag,security_signal,economic_signal,dominant_domain,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_strategy_rival_share,security_strategy_collaborator_share,economy_trade_collaborator_share,science_technology_collaborator_share,governance_law_rival_share,society_culture_collaborator_share,is_security_hawk,is_economic_or_sti_pragmatist,is_selective_engager,is_dual_track_institute,is_broad_neutral_analyst,region,country,organization_type,institute_type_category,parent_institution,funding_source_if_available,china_focus_area,publication_indexed_share,china_coauthorship_share,policy_output_share,confucius_institute_present,confucius_institute_closed,ci_closure_year,china_funding_present,china_funding_type,china_university_partner,joint_chinese_center,china_agenda_dependence,director_name,director_start_year,director_end_year,director_background_type,director_security_policy_background,director_china_academic_background,director_prior_affiliation_china,director_change_year,director_change_post_ci_closure,year_established,region_collapsed,region_europe,region_asia_pacific,region_latin_america,policy_think_tank,program_or_network,university_embedded,funding_disclosed,philanthropic_funding,government_funding,year_established_unknown,founded_since_2010,year_established_centered
21st_century_china_center,21st Century China Center,security_hawks,0.0,True,False,0.01898,0.009767,security_strategy,0.02552,0.016171,0.95831,0.041691,0.612123,0.387877,3.435458,0.491402,0.682986,1.364259,0.124953,0.29227,1,0,0,0,0,North America,United States,University policy research center,policy / think tank,University of California San Diego,Joe and Clara Tsai Foundation major gift/endowment; UC San Diego,"Chinese politics, economy, society, US-China relations",,,,,,,,,,,,,,,,,,,,,2011.0,North America,0,0,0,1,0,1,1,1,0,0,1,0.5
asia_institute_china_related_programs,Asia Institute (China-related programs),broad_neutral_analysts,0.256818,False,False,0.000628,0.007793,society_culture,0.008073,0.047289,0.944638,0.055362,0.145822,0.854178,0.081069,0.247001,1.365117,0.161173,0.1494079999999999,1.326502,0,0,0,0,1,Oceania,Australia,University institute,academic center / institute,University of Melbourne,,Asian studies incl. China,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),broad_neutral_analysts,0.305303,False,False,7.3e-05,0.000264,society_culture,0.004322,0.02077,0.974909,0.025092,0.172246,0.827754,0.003443,0.165158,0.0,0.027811,0.0,0.542381,0,0,0,0,1,North America,United States,University center,academic center / institute,"University of California, Los Angeles",,Asia-Pacific studies incl. China,,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),economic_or_sti_pragmatists,0.296591,False,False,0.0,0.073385,science_technology,0.0,0.115318,0.884682,0.115318,0.0,1.0,0.0,1.3968,0.7535970000000001,2.842286,0.0,0.657895,0,1,0,0,0,North America,United States,University institute,academic center / institute,Duke University,,Asia-Pacific studies incl. China,,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
australia_china_relations_institute,Australia-China Relations Institute,selective_engagers,0.0,True,False,0.009321,0.018919,security_strategy,0.017732,0.05662,0.925648,0.074352,0.238487,0.761513,2.619163,6.262992,3.277182,1.116753,0.260236,2.650055,0,0,1,0,0,Oceania,Australia,Policy institute,policy / think tank,University of Technology Sydney,,"Australia-China relations, policy, business, society",,,,,,,,,,,,,,,,,,,,,2014.0,Asia-Pacific,0,1,0,1,0,1,0,0,0,0,1,3.5
australian_centre_on_china_in_the_world,Australian Centre on China in the World,broad_neutral_analysts,0.11591,False,False,0.0,0.011992,society_culture,0.0,0.069712,0.930288,0.069712,0.0,1.0,0.0,0.510675,0.407744,0.0,0.0,1.244929,0,0,0,0,1,Oceania,Australia,University research center,academic center / institute,Australian National University,,"China in the world, history, society, politics",,,,,,,,,,,,,,,,,,,,,2010.0,Asia-Pacific,0,1,0,0,0,1,0,0,0,0,1,-0.5
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,economic_or_sti_pragmatists,0.05,True,False,0.013466,0.026989,science_technology,0.032089,0.038338,0.929573,0.070427,0.455635,0.544365,0.713713,0.062215,0.565206,0.888428,0.178389,0.295632,0,1,0,0,0,Europe,United Kingdom,University research center,academic center / institute,University of Cambridge / Cambridge Judge Business School,,"Chinese firms, management, innovation, internationalisation",,,,,,,,,,,,,,,,,,,,,2000.0,Europe,1,0,0,0,0,1,0,0,0,0,0,-10.5
carnegie_china,Carnegie China,security_hawks,0.066666,True,False,0.003535,0.003859,economy_trade,0.065032,0.031602,0.903366,0.096634,0.672972,0.327028,0.106041,0.35772,0.493958,0.025815,0.001936,0.036041,1,0,0,0,0,Asia / Global,China / Global,Think tank center,policy / think tank,Carnegie Endowment for International Peace,,China and international affairs,,,,,,,,,,,,,,,,,,,,,2010.0,Asia-Pacific,0,1,0,1,0,0,0,0,0,0,1,-0.5
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work),security_hawks,0.542424,False,False,0.079402,0.00056,security_strategy,0.098125,0.037153,0.864722,0.135278,0.725358,0.274642,5.161116,1.231609,0.012894,0.128939,0.7563310000000001,0.077363,1,0,0,0,0,North America,United States,University center,academic center / institute,The University of Texas at Austin,,Asian studies incl. China,,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
center_for_china_analysis,Center for China Analysis,low_volume_unassigned,0.0,True,True,0.0,0.0,science_technology,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,North America / Global,United States / Global,Policy analysis center,policy / think tank,Asia Society Policy Institute,,Contemporary China policy analysis,,,,,,,,,,,,,,,,,,,,,2022.0,Mixed/Other,0,0,0,1,0,0,0,0,0,0,1,11.5
center_for_china_studies,Center for China Studies,low_volume_unassigned,0.0,True,True,0.0,0.0,society_culture,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Asia,Taiwan,Research center,academic center / institute,National Central Library,,Sinology and China studies,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,0,0,0,0,1,0,0.0
center_for_chinese_studies,Center for Chinese Studies,economic_or_sti_pragmatists,0.032575,True,False,0.00217,0.021363,society_culture,0.026085,0.059805,0.914109,0.08589,0.303702,0.696298,0.6814279999999999,2.86139,5.396309,2.995645,1.686264,5.100442,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed/Other,0,0,0,0,0,0,0,0,0,1,0,0.0
center_for_chinese_studies_berkeley,Center for Chinese Studies,selective_engagers,0.002272,True,False,0.00783,0.010148,society_culture,0.018633,0.057707,0.92366,0.07634,0.244079,0.755921,0.555935,2.185866,0.601233,0.298373,0.139457,0.98465,0,0,1,0,0,North America,United States,University research center,academic center / institute,"University of California, Berkeley",,"China studies, humanities and social sciences",,,,,,,,,,,,,,,,,,,,,1957.0,North America,0,0,0,0,0,1,0,0,0,0,0,-53.5
center_for_chinese_studies_hawaii_manoa,Center for Chinese Studies,security_hawks,0.000757,True,False,0.008057,0.003407,society_culture,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687,0.555935,2.185866,0.075194,0.298373,0.139457,0.98465,1,0,0,0,0,North America,United States,University research center,academic center / institute,University of Hawai'i at Mānoa,,"Chinese studies, language, society, politics",,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
center_for_chinese_studies_michigan,Center for Chinese Studies,security_hawks,0.000757,True,False,0.008057,0.003407,society_culture,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687,0.555935,2.185866,0.075194,0.298373,0.139457,0.98465,1,0,0,0,0,North America,United States,University research center,academic center / institute,University of Michigan,,"China studies, language, humanities, social sciences",,,,,,,,,,,,,,,,,,,,,1961.0,North America,0,0,0,0,0,1,0,0,0,0,0,-49.5
center_for_east_asian_studies,Center for East Asian Studies,economic_or_sti_pragmatists,0.046969,True,False,0.0,0.009423,society_culture,0.005959,0.077103,0.916938,0.083062,0.071742,0.928258,0.0,0.265393,0.433485,0.104524,0.0,2.616427,0,1,0,0,0,North America,United States,University center,academic center / institute,University of Chicago,,East Asian studies incl. China,,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
center_for_international_and_regional_studies_china_related_work,Center for International and Regional Studies (China-related work),broad_neutral_analysts,0.49697,False,False,0.0,0.0,society_culture,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,Asia,Japan,University research center,academic center / institute,The University of Tokyo,,Regional studies incl. China,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
center_on_u_s_china_relations,Center on U.S.-China Relations,security_hawks,0.262121,False,False,0.037209,0.013549,security_strategy,0.053849,0.076009,0.870142,0.129858,0.414676,0.585324,5.618636,6.625908,1.171784,1.352945,1.084674,0.363778,1,0,0,0,0,North America,United States,Policy center,policy / think tank,Asia Society,Founded by Arthur Ross,"US-China relations, public diplomacy, exchange",,,,,,,,,,,,,,,,,,,,,2006.0,North America,0,0,0,1,0,0,1,0,0,0,0,-4.5
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC),broad_neutral_analysts,0.215151,False,False,0.00691,0.007971,society_culture,0.01536,0.037484,0.947156,0.052844,0.290667,0.709333,1.782711,2.66836,1.842321,0.687745,0.170163,3.651194,0,0,0,0,1,Europe / Asia,France / Hong Kong,Research center,academic center / institute,French Centre for Research on Contemporary China,,Contemporary China research,,,,,,,,,,,,,,,,,,,,,1997.0,Asia-Pacific,0,1,0,0,0,0,0,0,0,0,0,-13.5
centre_for_china_studies,Centre for China Studies,dual_track_institutes,0.0,True,False,0.031072,0.022898,security_strategy,0.037406,0.094855,0.867739,0.132261,0.28282,0.71718,2.3925460000000003,4.220792,1.269975,0.250931,0.025143,1.000981,0,0,0,1,0,Asia,Hong Kong,University research center,academic center / institute,The Chinese University of Hong Kong,,"China studies, Chinese language, scholarship and education",,,,,,,,,,,,,,,,,,,,,1967.0,Asia-Pacific,0,1,0,0,0,1,0,0,0,0,0,-43.5
china_africa_research_initiative,China Africa Research Initiative,economic_or_sti_pragmatists,0.258333,False,False,8.6e-05,0.128834,economy_trade,0.003207,0.159074,0.837718,0.162281,0.019762,0.980238,0.005019,0.840728,6.829557,0.648523,0.01287,0.41361,0,1,0,0,0,Africa / North America,United States / Africa-focused,Research initiative,,Johns Hopkins SAIS,,"China-Africa relations, loans, investment, policy",,,,,,,,,,,,,,,,,,,,,2014.0,Mixed/Other,0,0,0,0,0,0,0,0,0,0,1,3.5
china_institute,China Institute,selective_engagers,0.0,True,False,0.0,0.019901,security_strategy,0.003032,0.072037,0.924931,0.075069,0.04039,0.95961,0.0,1.908095,0.770396,0.774577,0.112183,1.005651,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed/Other,0,0,0,0,0,0,0,0,0,1,0,0.0
china_institute_birmingham,China Institute,economic_or_sti_pragmatists,0.049242,True,False,0.005515,0.031279,security_strategy,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.579063,4.50318,1.454621,1.499952,0.0,1.344807,0,1,0,0,0,Europe,United Kingdom,University institute,academic center / institute,University of Birmingham,University + external engagement support,"Chinese interests, funding, research, academic engagement",,,,,,,,,,,,,,,,,,,,,,Europe,1,0,0,0,0,1,1,0,0,1,0,0.0
