institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,economy_trade_salience_share,science_technology_salience_share,environment_climate_salience_share,governance_law_salience_share,society_culture_salience_share,security_strategy_rival_prop,security_strategy_collaborator_prop,economy_trade_rival_prop,economy_trade_collaborator_prop,science_technology_rival_prop,science_technology_collaborator_prop,environment_climate_rival_prop,environment_climate_collaborator_prop,governance_law_rival_prop,governance_law_collaborator_prop,society_culture_rival_prop,society_culture_collaborator_prop
21st_century_china_center,21st Century China Center,227,227,181,0.797357,181.000002,security_strategy,0.264586,society_culture,0.257146,0.00744,False,True,False,2008.0,2026.0,0.264586,0.191298,0.129848,0.027069,0.130054,0.257146,0.071736,0.010261,0.007727,0.019725,0.002381,0.058048,0.0,0.0,0.005308,0.004076,0.015794,0.00628
asia_institute_china_related_programs,Asia Institute (China-related programs),165,165,129,0.781818,128.999995,society_culture,0.269727,governance_law,0.26231,0.007417,False,True,False,2000.0,2026.0,0.047428,0.215702,0.087985,0.116848,0.26231,0.269727,0.01325,0.040371,0.022261,0.04906,0.0,0.0142,0.011383,0.0,0.004415,0.088674,0.000572,0.038124
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),98,98,47,0.479592,46.999998,society_culture,0.611493,security_strategy,0.129538,0.481955,False,False,False,2000.0,2025.0,0.129538,0.080738,0.110126,0.0,0.068104,0.611493,0.000566,0.027127,0.000907,0.0,0.005987,0.005373,0.0,0.0,0.0,0.075235,0.00575,0.018872
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),86,86,49,0.569767,49.0,science_technology,0.394116,society_culture,0.227461,0.166655,False,False,False,2002.0,2025.0,0.092638,0.188007,0.394116,0.047619,0.050159,0.227461,0.0,0.307716,0.0,0.081803,0.0,0.147179,0.0,0.0,0.0,0.0,0.0,0.059027
australia_china_relations_institute,Australia-China Relations Institute,376,376,281,0.74734,280.999995,security_strategy,0.279936,environment_climate,0.230015,0.049921,False,True,False,2011.0,2026.0,0.279936,0.19619,0.123784,0.230015,0.028792,0.141282,0.033296,0.079619,0.010707,0.059445,0.017521,0.032106,0.0076,0.035137,0.032165,0.041052,0.010387,0.066752
australian_centre_on_china_in_the_world,Australian Centre on China in the World,54,54,34,0.62963,34.0,society_culture,0.361535,governance_law,0.234489,0.127046,False,False,False,2010.0,2026.0,0.224029,0.059359,0.105882,0.014706,0.234489,0.361535,0.0,0.067044,0.0,0.202032,0.0,0.0,0.0,0.0,0.0,0.025946,0.0,0.101278
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,67,67,53,0.791045,53.0,science_technology,0.414106,economy_trade,0.304679,0.109427,False,False,False,2003.0,2025.0,0.09717,0.304679,0.414106,0.021527,0.041063,0.121455,0.138585,0.012081,0.000633,0.035002,0.009006,0.040479,0.01345,0.151701,0.081968,0.02176,0.09094,0.045926
carnegie_china,Carnegie China,40,40,30,0.75,30.0,economy_trade,0.358471,security_strategy,0.220826,0.137645,False,False,False,2010.0,2025.0,0.220826,0.358471,0.137402,0.062172,0.124178,0.09695,0.016007,0.053997,0.171125,0.045932,0.000391,0.006263,0.000119,0.001903,0.00052,0.008315,0.000291,0.012392
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work),71,71,65,0.915493,65.000001,security_strategy,0.355086,society_culture,0.333802,0.021284,False,True,False,2003.0,2025.0,0.355086,0.088514,0.045684,0.0,0.176914,0.333802,0.223613,0.053361,0.042343,0.002241,0.056152,0.043422,0.0,0.0,0.065771,0.083842,0.002319,0.003566
center_for_china_analysis,Center for China Analysis,2,2,1,0.5,1.0,science_technology,1.0,security_strategy,0.0,1.0,False,False,True,2023.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
center_for_china_studies,Center for China Studies,1,1,1,1.0,1.0,society_culture,1.0,security_strategy,0.0,1.0,False,False,True,2006.0,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
center_for_chinese_studies,Center for Chinese Studies,432,432,314,0.726852,313.999997,society_culture,0.424896,economy_trade,0.191243,0.233653,False,False,False,2000.0,2025.0,0.13981,0.191243,0.080246,0.015969,0.147836,0.424896,0.015522,0.065179,0.02363,0.089863,0.024641,0.118888,0.013284,0.0,0.036326,0.052241,0.027857,0.038229
center_for_chinese_studies_berkeley,Center for Chinese Studies,84,84,71,0.845238,71.000004,society_culture,0.53585,security_strategy,0.220357,0.315493,False,False,False,2000.0,2024.0,0.220357,0.082615,0.117824,0.001373,0.041982,0.53585,0.035534,0.139714,0.016869,0.1025,0.015212,0.035667,0.052217,0.052217,0.046786,0.007374,0.010416,0.025881
center_for_chinese_studies_hawaii_manoa,Center for Chinese Studies,82,82,69,0.841463,69.000004,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,False,2000.0,2024.0,0.205005,0.069213,0.122978,0.002572,0.046388,0.553845,0.039302,0.154529,0.020719,0.015745,0.014996,0.035163,0.028677,0.028677,0.04357,0.006867,0.010369,0.025766
center_for_chinese_studies_michigan,Center for Chinese Studies,82,82,69,0.841463,69.000004,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,False,2000.0,2024.0,0.205005,0.069213,0.122978,0.002572,0.046388,0.553845,0.039302,0.154529,0.020719,0.015745,0.014996,0.035163,0.028677,0.028677,0.04357,0.006867,0.010369,0.025766
center_for_east_asian_studies,Center for East Asian Studies,76,76,52,0.684211,52.000001,society_culture,0.752447,economy_trade,0.06749,0.684957,False,False,False,2000.0,2026.0,0.05483,0.06749,0.064087,0.000566,0.06058,0.752447,0.0,0.093083,0.009394,0.123519,0.005935,0.031365,0.0,0.0,0.0,0.187136,0.006572,0.06687
center_for_international_and_regional_studies_china_related_work,Center for International and Regional Studies (China-related work),22,22,15,0.681818,14.999999,society_culture,0.354506,economy_trade,0.32725,0.027256,False,True,False,2000.0,2025.0,0.153183,0.32725,0.038596,0.126465,0.0,0.354506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
center_on_u_s_china_relations,Center on U.S.-China Relations,181,181,151,0.834254,150.999999,security_strategy,0.447977,governance_law,0.174078,0.273899,False,False,False,2006.0,2026.0,0.447977,0.122948,0.104433,0.049457,0.174078,0.101106,0.083061,0.097952,0.012372,0.063117,0.056828,0.085796,0.028948,0.059658,0.041265,0.05773,0.005623,0.023828
