institute_id,institute_name,low_volume_flag,theory_typology,theory_typology_confidence,theory_typology_borderline,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_signal,economic_signal,score_security_hawks,score_selective_engagers,score_economic_or_sti_pragmatists,score_dual_track_institutes,score_broad_neutral_analysts
21st_century_china_center,21st Century China Center,False,security_hawks,0.0,True,security_strategy,0.264586,society_culture,0.257146,0.00744,False,True,0.02552,0.016171,0.95831,0.041691,0.612123,0.387877,0.01898,0.009767,0.70303,0.382576,0.346212,0.369697,0.830303
asia_institute_china_related_programs,Asia Institute (China-related programs),False,broad_neutral_analysts,0.256818,False,society_culture,0.269727,governance_law,0.26231,0.007417,False,True,0.008073,0.047289,0.944638,0.055362,0.145822,0.854178,0.000628,0.007793,0.187121,0.340909,0.561364,0.239394,0.818182
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),False,broad_neutral_analysts,0.305303,False,society_culture,0.611493,security_strategy,0.129538,0.481955,False,False,0.004322,0.02077,0.974909,0.025092,0.172246,0.827754,7.3e-05,0.000264,0.172727,0.261364,0.35,0.172727,0.655303
asia_pacific_studies_institute_china_related_work,Asia/Pacific Studies Institute (China-related work),False,economic_or_sti_pragmatists,0.296591,False,science_technology,0.394116,society_culture,0.227461,0.166655,False,False,0.0,0.115318,0.884682,0.115318,0.0,1.0,0.0,0.073385,0.134091,0.673863,0.970454,0.198485,0.293939
australia_china_relations_institute,Australia-China Relations Institute,False,selective_engagers,0.0,True,security_strategy,0.279936,environment_climate,0.230015,0.049921,False,True,0.017732,0.05662,0.925648,0.074352,0.238487,0.761513,0.009321,0.018919,0.492424,0.544697,0.651515,0.463636,0.57197
australian_centre_on_china_in_the_world,Australian Centre on China in the World,False,broad_neutral_analysts,0.11591,False,society_culture,0.361535,governance_law,0.234489,0.127046,False,False,0.0,0.069712,0.930288,0.069712,0.0,1.0,0.0,0.011992,0.167424,0.486742,0.57803,0.113636,0.69394
cambridge_centre_for_chinese_management,Cambridge Centre for Chinese Management,False,economic_or_sti_pragmatists,0.05,True,science_technology,0.414106,economy_trade,0.304679,0.109427,False,False,0.032089,0.038338,0.929573,0.070427,0.455635,0.544365,0.013466,0.026989,0.556061,0.5,0.606061,0.554546,0.515152
carnegie_china,Carnegie China,False,security_hawks,0.066666,True,economy_trade,0.358471,security_strategy,0.220826,0.137645,False,False,0.065032,0.031602,0.903366,0.096634,0.672972,0.327028,0.003535,0.003859,0.538636,0.351515,0.353788,0.360606,0.47197
center_for_asian_studies_china_related_work,Center for Asian Studies (China-related work),False,security_hawks,0.542424,False,security_strategy,0.355086,society_culture,0.333802,0.021284,False,True,0.098125,0.037153,0.864722,0.135278,0.725358,0.274642,0.079402,0.00056,0.906818,0.364394,0.071212,0.339394,0.342424
center_for_china_analysis,Center for China Analysis,True,low_volume_unassigned,0.0,True,science_technology,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
